"month","category","revenue"
"2017-04-01 00:00:00+07","fashion_roupa_masculina","504.63"
"2017-04-01 00:00:00+07","fashion_underwear_e_moda_praia","159.67"
"2017-04-01 00:00:00+07","ferramentas_jardim","20999.33"
"2017-04-01 00:00:00+07","informatica_acessorios","22018.99"
"2017-04-01 00:00:00+07","instrumentos_musicais","4114.27"
"2017-04-01 00:00:00+07","la_cuisine","34.81"
"2017-04-01 00:00:00+07","livros_importados","33.43"
"2017-04-01 00:00:00+07","livros_interesse_geral","1142.79"
"2017-04-01 00:00:00+07","livros_tecnicos","86.92"
"2017-04-01 00:00:00+07","malas_acessorios","8639.74"
"2017-04-01 00:00:00+07","market_place","4538.03"
"2017-04-01 00:00:00+07","moveis_colchao_e_estofado","130.80"
"2017-04-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","1282.10"
"2017-04-01 00:00:00+07","moveis_decoracao","25916.33"
"2017-04-01 00:00:00+07","moveis_escritorio","11164.03"
"2017-04-01 00:00:00+07","moveis_quarto","1091.28"
"2017-04-01 00:00:00+07","moveis_sala","2526.11"
"2017-04-01 00:00:00+07","musica","88.84"
"2017-04-01 00:00:00+07","papelaria","5197.20"
"2017-04-01 00:00:00+07","pc_gamer","289.73"
"2017-04-01 00:00:00+07","perfumaria","21648.98"
"2017-04-01 00:00:00+07","pet_shop","7126.84"
"2017-04-01 00:00:00+07","relogios_presentes","25108.84"
"2017-04-01 00:00:00+07","sinalizacao_e_seguranca","183.65"
"2017-04-01 00:00:00+07","tablets_impressao_imagem","1312.23"
"2017-04-01 00:00:00+07","telefonia","9523.97"
"2017-04-01 00:00:00+07","telefonia_fixa","3168.77"
"2017-04-01 00:00:00+07","Unknown","10193.52"
"2017-04-01 00:00:00+07","utilidades_domesticas","16723.82"
"2017-05-01 00:00:00+07","agro_industria_e_comercio","1763.74"
"2017-05-01 00:00:00+07","alimentos","452.25"
"2017-05-01 00:00:00+07","alimentos_bebidas","630.41"
"2017-05-01 00:00:00+07","artes","7365.95"
"2017-05-01 00:00:00+07","artes_e_artesanato","29.66"
"2017-05-01 00:00:00+07","audio","2333.19"
"2017-05-01 00:00:00+07","automotivo","20603.24"
"2017-05-01 00:00:00+07","bebes","11727.82"
"2017-05-01 00:00:00+07","bebidas","112.95"
"2017-05-01 00:00:00+07","beleza_saude","52801.02"
"2017-05-01 00:00:00+07","brinquedos","25767.46"
"2017-05-01 00:00:00+07","cama_mesa_banho","39662.14"
"2017-05-01 00:00:00+07","casa_conforto","5895.17"
"2017-05-01 00:00:00+07","casa_construcao","1731.60"
"2017-05-01 00:00:00+07","cine_foto","91.71"
"2017-05-01 00:00:00+07","climatizacao","1186.69"
"2017-05-01 00:00:00+07","consoles_games","2947.24"
"2017-05-01 00:00:00+07","construcao_ferramentas_construcao","149.40"
"2017-05-01 00:00:00+07","construcao_ferramentas_ferramentas","834.30"
"2017-05-01 00:00:00+07","construcao_ferramentas_jardim","1633.33"
"2017-05-01 00:00:00+07","cool_stuff","38205.96"
"2017-05-01 00:00:00+07","dvds_blu_ray","150.60"
"2017-05-01 00:00:00+07","eletrodomesticos","2371.03"
"2017-05-01 00:00:00+07","eletrodomesticos_2","3453.39"
"2017-05-01 00:00:00+07","eletronicos","7958.75"
"2017-05-01 00:00:00+07","eletroportateis","5727.35"
"2017-05-01 00:00:00+07","esporte_lazer","41875.84"
"2017-05-01 00:00:00+07","fashion_bolsas_e_acessorios","9168.27"
"2017-05-01 00:00:00+07","fashion_calcados","2014.89"
"2017-05-01 00:00:00+07","fashion_esporte","179.48"
"2017-05-01 00:00:00+07","fashion_roupa_feminina","485.63"
"2017-05-01 00:00:00+07","fashion_roupa_infanto_juvenil","124.52"
"2017-05-01 00:00:00+07","fashion_roupa_masculina","676.21"
"2017-05-01 00:00:00+07","fashion_underwear_e_moda_praia","369.26"
"2017-05-01 00:00:00+07","ferramentas_jardim","23997.74"
"2017-05-01 00:00:00+07","industria_comercio_e_negocios","552.22"
"2017-05-01 00:00:00+07","informatica_acessorios","51021.20"
"2017-05-01 00:00:00+07","instrumentos_musicais","10534.16"
"2017-05-01 00:00:00+07","la_cuisine","232.19"
"2017-05-01 00:00:00+07","livros_interesse_geral","2199.17"
"2017-05-01 00:00:00+07","livros_tecnicos","316.46"
"2017-05-01 00:00:00+07","malas_acessorios","14860.09"
"2017-05-01 00:00:00+07","market_place","2859.28"
"2017-05-01 00:00:00+07","moveis_colchao_e_estofado","731.88"
"2017-05-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","1637.21"
"2017-05-01 00:00:00+07","moveis_decoracao","29971.21"
"2017-05-01 00:00:00+07","moveis_escritorio","10019.71"
"2017-05-01 00:00:00+07","moveis_quarto","2658.95"
"2017-05-01 00:00:00+07","moveis_sala","6240.77"
"2017-05-01 00:00:00+07","papelaria","7147.63"
"2017-05-01 00:00:00+07","pc_gamer","138.15"
"2017-05-01 00:00:00+07","perfumaria","22397.27"
"2017-05-01 00:00:00+07","pet_shop","9646.52"
"2017-05-01 00:00:00+07","relogios_presentes","40194.45"
"2017-05-01 00:00:00+07","sinalizacao_e_seguranca","775.94"
"2017-05-01 00:00:00+07","tablets_impressao_imagem","1607.02"
"2017-05-01 00:00:00+07","telefonia","12430.44"
"2017-05-01 00:00:00+07","telefonia_fixa","607.63"
"2017-05-01 00:00:00+07","Unknown","12715.22"
"2017-05-01 00:00:00+07","utilidades_domesticas","26737.87"
"2017-06-01 00:00:00+07","agro_industria_e_comercio","1422.05"
"2017-06-01 00:00:00+07","alimentos","171.79"
